令和２年国勢調査（総務省統計局）　都道府県・市区町村別の主な結果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）※マークの項目については、「参考表：令和２年国勢調査に関する不詳補完結果」の結果数値を掲載している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）「15歳以上人口」については、「第１面事項」の結果数値とは一致しない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,【従業地・通学地による人口】15歳以上自宅外就業者（人）,【従業地・通学地による人口】15歳以上通学者（人）,【従業地・通学地による人口】昼間人口（人）,【従業地・通学地による人口】昼夜間人口比率,【従業地・通学地による人口】流出人口（人）,【従業地・通学地による人口】流入人口（人）
地域,,,,男女総数,,,男,,,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,従業地・通学地による人口,,,,,
,,,,,,,,,,,,,,産業大分類別就業者数,,,,,,,,,,,,,,,,,,,,産業３部門,,,,,,職業大分類別就業者数,,,,,,,,,,,,,,,,
,,,,"15歳以上
人口","15歳以上
労働力人口",労働力率,"15歳以上
人口","15歳以上
労働力人口",労働力率,"15歳以上
人口","15歳以上
労働力人口",労働力率,"15歳以上
就業者数",A.農業，林業,うち農業,B.漁業,C.鉱業，採石業，砂利採取業,D.建設業,E.製造業,F.電気・ガス・熱供給・水道業,G.情報通信業,H.運輸業，郵便業,I.卸売業，小売業,J.金融業，保険業,K.不動産業，物品賃貸業,L.学術研究，専門・技術サービス業,M.宿泊業，飲食サービス業,N.生活関連サービス業，娯楽業,O.教育，学習支援業,P.医療，福祉,Q.複合サービス事業,R.サービス業（他に分類されないもの）,S.公務（他に分類されるものを除く）,"第１次産業
就業者数","第２次産業
就業者数","第３次産業
就業者数","第１次産業
就業者の割合","第２次産業
就業者の割合","第３次産業
就業者の割合",A.管理的職業従事者,B.専門的・技術的職業従事者,C.事務従事者,D.販売従事者,E.サービス職業従事者,F.保安職業従事者,G.農林漁業従事者,H.生産工程従事者,I.輸送・機械運転従事者,J.建設・採掘従事者,K.運搬・清掃・包装等従事者,通勤者,通学者,昼間人口,"昼夜間
人口比率",流出人口,流入人口
,,,,,※,※,,※,※,,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※,※
都道府県名,都道府県・市区町村名,"都道府県・市区町村名
（英語）","市などの別
（地域識別コード）",（人）,（人）,（％）,（人）,（人）,（％）,（人）,（人）,（％）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（％）,（％）,（％）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,（人）,,（人）,（人）
00_全国,00000_全国,Japan,a," 108,258,569 "," 68,121,346 ",62.9," 52,098,467 "," 37,708,177 ",72.4," 56,160,102 "," 30,413,169 ",54.2," 65,468,436 "," 1,986,273 "," 1,921,957 "," 141,248 "," 20,456 "," 4,857,375 "," 10,439,466 "," 317,856 "," 2,518,801 "," 3,680,454 "," 10,319,934 "," 1,616,884 "," 1,520,345 "," 2,561,028 "," 3,670,432 "," 2,318,199 "," 3,310,184 "," 8,818,261 "," 489,988 "," 4,539,980 "," 2,341,272 "," 2,127,521 "," 15,317,297 "," 48,023,618 ",3.2,23.4,73.4," 1,355,162 "," 12,253,060 "," 13,721,124 "," 8,114,666 "," 7,942,814 "," 1,277,974 "," 2,057,067 "," 8,743,483 "," 2,263,861 "," 2,856,846 "," 4,882,379 "," 58,417,691 "," 15,179,192 "," 126,146,099 ",100.0,-,-
01_北海道,01000_北海道,Hokkaido,a," 4,609,750 "," 2,753,582 ",59.7," 2,147,688 "," 1,505,167 ",70.1," 2,462,062 "," 1,248,415 ",50.7," 2,636,824 "," 137,875 "," 130,963 "," 28,813 "," 1,716 "," 231,114 "," 213,292 "," 15,269 "," 55,765 "," 150,432 "," 433,415 "," 51,558 "," 55,023 "," 78,462 "," 162,718 "," 95,129 "," 128,412 "," 406,749 "," 33,590 "," 214,360 "," 143,132 "," 166,688 "," 446,122 "," 2,024,014 ",6.3,16.9,76.8," 59,866 "," 442,598 "," 509,905 "," 309,359 "," 356,151 "," 85,279 "," 155,152 "," 254,503 "," 114,448 "," 131,406 "," 218,157 "," 2,314,403 "," 569,833 "," 5,223,011 ",100.0," 5,685 "," 4,082 "
01_北海道,01100_札幌市,Sapporo-shi,1," 1,726,966 "," 1,059,582 ",61.4," 791,840 "," 566,728 ",71.6," 935,126 "," 492,854 ",52.7," 1,009,312 "," 4,709 "," 4,215 ", 106 , 131 ," 82,774 "," 59,769 "," 5,746 "," 43,003 "," 57,832 "," 186,288 "," 25,611 "," 32,902 "," 44,158 "," 65,386 "," 37,194 "," 52,322 "," 162,991 "," 6,935 "," 102,752 "," 38,703 "," 4,815 "," 142,674 "," 861,823 ",0.5,14.1,85.4," 22,110 "," 207,288 "," 237,747 "," 146,242 "," 133,632 "," 23,271 "," 4,572 "," 73,860 "," 36,344 "," 45,902 "," 78,344 "," 915,560 "," 227,404 "," 1,968,338 ",99.7," 86,547 "," 81,490 "
01_北海道,01101_札幌市中央区,Sapporo-shi Chuo-ku,0," 215,263 "," 138,679 ",64.4," 95,261 "," 71,852 ",75.4," 120,002 "," 66,827 ",55.7," 131,962 ", 383 , 230 , 9 , 20 ," 5,863 "," 5,386 "," 1,102 "," 7,889 "," 3,542 "," 21,398 "," 5,030 "," 5,340 "," 8,361 "," 11,447 "," 5,118 "," 7,976 "," 23,097 ", 686 ," 13,191 "," 6,124 ", 392 ," 11,269 "," 120,301 ",0.3,8.5,91.2," 4,784 "," 36,237 "," 33,288 "," 21,117 "," 17,943 "," 2,557 ", 271 ," 5,244 "," 1,865 "," 2,519 "," 6,137 "," 121,090 "," 26,551 "," 422,393 ",169.9," 42,250 "," 215,963 "
01_北海道,01102_札幌市北区,Sapporo-shi Kita-ku,0," 251,421 "," 152,464 ",60.6," 117,758 "," 82,768 ",70.3," 133,663 "," 69,696 ",52.1," 145,550 ", 790 , 745 , 25 , 17 ," 14,705 "," 8,785 ", 766 ," 5,014 "," 8,589 "," 26,880 "," 3,219 "," 4,310 "," 5,658 "," 9,040 "," 4,919 "," 9,921 "," 22,716 "," 1,117 "," 14,368 "," 4,711 ", 815 ," 23,507 "," 121,228 ",0.6,16.2,83.3," 2,832 "," 29,838 "," 31,470 "," 21,604 "," 18,677 "," 2,413 ", 770 ," 11,742 "," 5,666 "," 8,688 "," 11,850 "," 131,721 "," 39,614 "," 273,170 ",94.4," 79,719 "," 63,566 "
