上尾		 238 	 239 
上尾鷹の台		 238 	 238 
上尾橘		 159 	 134 
上尾南		 238 	 243 
朝霞		 358 	 361 
朝霞西		 358 	 363 
伊奈学園総合		 795 	 796 
入間向陽		 318 	 320 
岩槻		 278 	 276 
岩槻北陵		 159 	 118 
浦和		 358 	 359 
浦和北		 358 	 361 
浦和第一女子		 358 	 362 
浦和西		 358 	 359 
浦和東		 318 	 319 
大宮		 318 	 315 
大宮光陵		 238 	 240 
大宮東		 278 	 255 
大宮南		 358 	 358 
大宮武蔵野		 238 	 239 
小川		 198 	 184 
桶川		 318 	 318 
桶川西		 159 	 134 
越生		 79 	 48 
春日部		 358 	 360 
春日部女子		 278 	 279 
春日部東		 318 	 321 
川口		 358 	 359 
川口北		 358 	 362 
川口青陵		 278 	 279 
川口東		 278 	 279 
川越		 358 	 362 
川越女子		 358 	 359 
川越西		 358 	 358 
川越初雁		 198 	 191 
川越南		 358 	 358 
北本		 159 	 151 
久喜		 278 	 280 
熊谷		 318 	 319 
熊谷女子		 318 	 318 
熊谷西		 278 	 281 
栗橋北彩		 198 	 191 
鴻巣		 198 	 198 
鴻巣女子		 79 	 58 
越ケ谷		 358 	 361 
越谷北		 318 	 322 
越谷西		 318 	 322 
越谷東		 278 	 279 
越谷南		 318 	 319 
児玉		 79 	 57 
坂戸		 318 	 319 
坂戸西		 318 	 320 
狭山清陵		 198 	 200 
志木		 278 	 279 
庄和		 198 	 181 
白岡		 159 	 134 
杉戸		 278 	 280 
草加		 358 	 362 
草加西		 238 	 238 
草加東		 318 	 322 
草加南		 278 	 279 
秩父		 199 	 199 
鶴ケ島清風		 198 	 198 
所沢		 358 	 360 
所沢北		 318 	 318 
所沢中央		 318 	 321 
所沢西		 358 	 360 
豊岡		 318 	 319 
南稜		 318 	 318 
新座		 198 	 191 
新座柳瀬		 198 	 201 
蓮田松韻		 198 	 137 
鳩ケ谷		 158 	 161 
鳩山		 119 	 57 
羽生第一		 159 	 163 
飯能		 238 	 242 
飯能南		 159 	 95 
日高		 159 	 160 
深谷		 199 	 192 
深谷第一		 278 	 283 
富士見		 238 	 235 
ふじみ野		 118 	 120 
不動岡		 358 	 360 
本庄		 318 	 323 
松伏		 158 	 143 
松山		 278 	 279 
松山女子		 318 	 320 
三郷		 198 	 134 
三郷北		 238 	 242 
宮代		 198 	 189 
妻沼		 119 	 119 
八潮		 159 	 152 
八潮南		 79 	 78 
与野		 358 	 360 
和光		 159 	 143 
和光国際		 238 	 239 
鷲宮		 278 	 277 
蕨		 318 	 322 
川口市立		 360 	 363 
川越市立川越		 140 	 140 
さいたま市立浦和		 320 	 326 
さいたま市立浦和南		 320 	 321 
さいたま市立大宮北		 280 	 286 
"青山学院大学系属浦和ルーテル学院"		 75 	 77 
秋草学園		 320 	 157 
浦和明の星女子		 160 	 171 
浦和学院		 800 	 977 
浦和実業学園		 520 	 509 
浦和麗明		 320 	 505 
叡明		 520 	 558 
大妻嵐山		 180 	 119 
大宮開成		 500 	 620 
開智		 540 	 640 
開智未来		 200 	 162 
春日部共栄		 500 	 642 
川越東		 400 	 479 
慶應義塾志木		 250 	 239 
国際学院		 80 	 67 
埼玉栄		 560 	 721 
埼玉平成		 350 	 232 
栄北		 320 	 544 
栄東		 400 	 522 
狭山ヶ丘		 400 	 303 
自由の森学園		 210 	 207 
秀明		 160 	 81 
秀明英光		 400 	 321 
淑徳与野		 360 	 376 
城西大学付属川越		 280 	 238 
正智深谷		 400 	 386 
昌平		 490 	 551 
城北埼玉		 240 	 187 
西武学園文理		 300 	 267 
西武台		 500 	 522 
聖望学園		 300 	 290 
東京成徳大学深谷		 350 	 268 
東京農業大学第三		 400 	 395 
獨協埼玉		 320 	 352 
花咲徳栄		 440 	 526 
東野		 350 	 321 
武南		 440 	 587 
星野		 650 	 549 
細田学園		 440 	 343 
本庄第一		 450 	 381 
本庄東		 400 	 381 
武蔵越生		 380 	 285 
山村学園		 400 	 552 
山村国際		 240 	 333 
立教新座		 280 	 324 
早稲田大学本庄		 320 	 323 
