普通科	上尾	 計 	 195 	 100 	 95 	 186 	 100 	 86 	 3 	 3 	 - 	 2 	 1 	 1 	 181 	 96 	 85 	 9 	 - 	 9 	 - 	 - 	 - 	 9 	 - 	 9 	 - 	 - 	 - 			
		 現役 	 195 	 100 	 95 	 186 	 100 	 86 	 3 	 3 	 - 	 2 	 1 	 1 	 181 	 96 	 85 	 9 	 - 	 9 	 - 	 - 	 - 	 9 	 - 	 9 	 - 	 - 	 - 	 240 	 120 	 120 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	上尾鷹の台	 計 	 75 	 33 	 42 	 62 	 33 	 29 	 - 	 - 	 - 	 - 	 - 	 - 	 62 	 33 	 29 	 13 	 - 	 13 	 - 	 - 	 - 	 13 	 - 	 13 	 - 	 - 	 - 			
		 現役 	 75 	 33 	 42 	 62 	 33 	 29 	 - 	 - 	 - 	 - 	 - 	 - 	 62 	 33 	 29 	 13 	 - 	 13 	 - 	 - 	 - 	 13 	 - 	 13 	 - 	 - 	 - 	 230 	 83 	 147 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	上尾橘	 計 	 16 	 4 	 12 	 13 	 4 	 9 	 - 	 - 	 - 	 - 	 - 	 - 	 13 	 4 	 9 	 3 	 - 	 3 	 - 	 - 	 - 	 3 	 - 	 3 	 - 	 - 	 - 			
		 現役 	 16 	 4 	 12 	 13 	 4 	 9 	 - 	 - 	 - 	 - 	 - 	 - 	 13 	 4 	 9 	 3 	 - 	 3 	 - 	 - 	 - 	 3 	 - 	 3 	 - 	 - 	 - 	 111 	 42 	 69 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
