普通科	上尾	 計 	 197 	 105 	 92 	 191 	 104 	 87 	 5 	 5 	 - 	 - 	 - 	 - 	 186 	 99 	 87 	 5 	 1 	 4 	 - 	 - 	 - 	 5 	 1 	 4 	 1 	 - 	 1 			
		 現役 	 197 	 105 	 92 	 191 	 104 	 87 	 5 	 5 	 - 	 - 	 - 	 - 	 186 	 99 	 87 	 5 	 1 	 4 	 - 	 - 	 - 	 5 	 1 	 4 	 1 	 - 	 1 	 233 	 121 	 112 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	上尾鷹の台	 計 	 87 	 36 	 51 	 68 	 35 	 33 	 - 	 - 	 - 	 - 	 - 	 - 	 68 	 35 	 33 	 19 	 1 	 18 	 - 	 - 	 - 	 19 	 1 	 18 	 - 	 - 	 - 			
		 現役 	 87 	 36 	 51 	 68 	 35 	 33 	 - 	 - 	 - 	 - 	 - 	 - 	 68 	 35 	 33 	 19 	 1 	 18 	 - 	 - 	 - 	 19 	 1 	 18 	 - 	 - 	 - 	 220 	 89 	 131 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	上尾橘	 計 	 12 	 6 	 6 	 8 	 4 	 4 	 - 	 - 	 - 	 - 	 - 	 - 	 8 	 4 	 4 	 4 	 2 	 2 	 - 	 - 	 - 	 4 	 2 	 2 	 - 	 - 	 - 			
		 現役 	 12 	 6 	 6 	 8 	 4 	 4 	 - 	 - 	 - 	 - 	 - 	 - 	 8 	 4 	 4 	 4 	 2 	 2 	 - 	 - 	 - 	 4 	 2 	 2 	 - 	 - 	 - 	 124 	 52 	 72 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	上尾南	 計 	 99 	 66 	 33 	 81 	 64 	 17 	 - 	 - 	 - 	 - 	 - 	 - 	 81 	 64 	 17 	 18 	 2 	 16 	 - 	 - 	 - 	 18 	 2 	 16 	 - 	 - 	 - 			
		 現役 	 99 	 66 	 33 	 81 	 64 	 17 	 - 	 - 	 - 	 - 	 - 	 - 	 81 	 64 	 17 	 18 	 2 	 16 	 - 	 - 	 - 	 18 	 2 	 16 	 - 	 - 	 - 	 228 	 139 	 89 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	朝霞	 計 	 273 	 170 	 103 	 270 	 170 	 100 	 4 	 3 	 1 	 - 	 - 	 - 	 266 	 167 	 99 	 3 	 - 	 3 	 - 	 - 	 - 	 3 	 - 	 3 	 - 	 - 	 - 			
		 現役 	 264 	 163 	 101 	 261 	 163 	 98 	 2 	 2 	 - 	 - 	 - 	 - 	 259 	 161 	 98 	 3 	 - 	 3 	 - 	 - 	 - 	 3 	 - 	 3 	 - 	 - 	 - 	 316 	 192 	 124 
		 一浪 	 9 	 7 	 2 	 9 	 7 	 2 	 2 	 1 	 1 	 - 	 - 	 - 	 7 	 6 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	朝霞西	 計 	 191 	 112 	 79 	 181 	 112 	 69 	 2 	 2 	 - 	 - 	 - 	 - 	 179 	 110 	 69 	 10 	 - 	 10 	 - 	 - 	 - 	 10 	 - 	 10 	 - 	 - 	 - 			
		 現役 	 188 	 109 	 79 	 178 	 109 	 69 	 1 	 1 	 - 	 - 	 - 	 - 	 177 	 108 	 69 	 10 	 - 	 10 	 - 	 - 	 - 	 10 	 - 	 10 	 - 	 - 	 - 	 311 	 162 	 149 
		 一浪 	 3 	 3 	 - 	 3 	 3 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	伊奈学園総合	 計 	 689 	 285 	 404 	 671 	 285 	 386 	 39 	 18 	 21 	 14 	 5 	 9 	 618 	 262 	 356 	 18 	 - 	 18 	 - 	 - 	 - 	 18 	 - 	 18 	 - 	 - 	 - 			
		 現役 	 651 	 257 	 394 	 633 	 257 	 376 	 33 	 14 	 19 	 14 	 5 	 9 	 586 	 238 	 348 	 18 	 - 	 18 	 - 	 - 	 - 	 18 	 - 	 18 	 - 	 - 	 - 	 786 	 309 	 477 
		 一浪 	 32 	 24 	 8 	 32 	 24 	 8 	 5 	 4 	 1 	 - 	 - 	 - 	 27 	 20 	 7 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 6 	 4 	 2 	 6 	 4 	 2 	 1 	 - 	 1 	 - 	 - 	 - 	 5 	 4 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	入間向陽	 計 	 198 	 62 	 136 	 155 	 61 	 94 	 - 	 - 	 - 	 - 	 - 	 - 	 155 	 61 	 94 	 43 	 1 	 42 	 - 	 - 	 - 	 43 	 1 	 42 	 - 	 - 	 - 			
		 現役 	 195 	 61 	 134 	 152 	 60 	 92 	 - 	 - 	 - 	 - 	 - 	 - 	 152 	 60 	 92 	 43 	 1 	 42 	 - 	 - 	 - 	 43 	 1 	 42 	 - 	 - 	 - 	 308 	 89 	 219 
		 一浪 	 2 	 1 	 1 	 2 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 2 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 1 	 - 	 1 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	岩槻	 計 	 178 	 96 	 82 	 159 	 95 	 64 	 - 	 - 	 - 	 - 	 - 	 - 	 159 	 95 	 64 	 19 	 1 	 18 	 - 	 - 	 - 	 19 	 1 	 18 	 - 	 - 	 - 			
		 現役 	 178 	 96 	 82 	 159 	 95 	 64 	 - 	 - 	 - 	 - 	 - 	 - 	 159 	 95 	 64 	 19 	 1 	 18 	 - 	 - 	 - 	 19 	 1 	 18 	 - 	 - 	 - 	 264 	 127 	 137 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
普通科	岩槻北陵	 計 	 33 	 20 	 13 	 25 	 19 	 6 	 - 	 - 	 - 	 - 	 - 	 - 	 25 	 19 	 6 	 8 	 1 	 7 	 - 	 - 	 - 	 8 	 1 	 7 	 - 	 - 	 - 			
		 現役 	 32 	 19 	 13 	 24 	 18 	 6 	 - 	 - 	 - 	 - 	 - 	 - 	 24 	 18 	 6 	 8 	 1 	 7 	 - 	 - 	 - 	 8 	 1 	 7 	 - 	 - 	 - 	 138 	 77 	 61 
		 一浪 	 1 	 1 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
